"A","B","synergy","nearest.monoculture","t.test_p.value","fold.change.48","Cocul","p.value.adj"
"ADE5,7","HIS2","Yes","HIS2",0.410333566,1.22645031,"ADE5,7-HIS2",0.511166387679181
"ARG1","HIS2","Yes","HIS2",0.086820014,1.814195246,"ARG1-HIS2",0.318485478492462
"ARG2","HIS2","Yes","HIS2",0.022672404,2.509901033,"ARG2-HIS2",0.153248656666667
"ARG3","HIS2","Yes","HIS2",0.539263729,1.556278228,"ARG3-HIS2",0.616060285086072
"ARO1","HIS2","Yes","HIS2",0.30744069,1.78739381,"ARO1-HIS2",0.439200985714286
"ECM29","HIS2","Yes","HIS2",0.131899073,6.514267183,"ECM29-HIS2",0.385928544501992
"HIS1","HIS2","Yes","HIS2",0.422137332,1.306005344,"HIS1-HIS2",0.514457850350584
"IBA57","HIS2","Yes","HIS2",0.467868493,2.85916942,"IBA57-HIS2",0.549990337987117
"ISA1","HIS2","Yes","HIS2",0.197378383,2.849543575,"ISA1-HIS2",0.406761187977273
"LAG1","HIS2","Yes","HIS2",0.1832496,4.476317323,"LAG1-HIS2",0.406311699063444
"LYS2","HIS2","Yes","HIS2",0.132413022,5.349441433,"LYS2-HIS2",0.385928544501992
"MET10","HIS2","Yes","MET10",5.85e-05,40.02286042,"MET10-HIS2",0.00305035714285714
"MET3","HIS2","Yes","HIS2",0.027341235,6.958567648,"MET3-HIS2",0.173557404782609
"POS5","HIS2","Yes","HIS2",0.021860301,4.361373058,"POS5-HIS2",0.152229340285714
"RPL27A","HIS2","Yes","HIS2",0.267117282,2.346449762,"RPL27A-HIS2",0.414906514547368
"TRP3","HIS2","Yes","HIS2",0.01393718,4.735083614,"TRP3-HIS2",0.121120730952381
"URA1","HIS2","Yes","HIS2",0.089105879,2.90928081,"URA1-HIS2",0.320881644245283
"ADE1","YEA4","Yes","YEA4",1.96e-05,59.54816662,"ADE1-YEA4",0.0014308
"ADE5,7","YEA4","Yes","YEA4",0.058882763,41.81028876,"ADE5,7-YEA4",0.260933996121212
"ARG1","YEA4","Yes","YEA4",0.203839229,6.073885233,"ARG1-YEA4",0.406761187977273
"ARG2","YEA4","Yes","ARG2",0.214071089,4.836642071,"ARG2-YEA4",0.406761187977273
"ARG3","YEA4","Yes","YEA4",0.263811732,3.937362516,"ARG3-YEA4",0.414608509526882
"ARO1","YEA4","Yes","ARO1",0.243144049,2.287456568,"ARO1-YEA4",0.406761187977273
"ARO7","YEA4","Yes","ARO7",0.334201025,2.178964277,"ARO7-YEA4",0.454769262343173
"ECM29","YEA4","Yes","ECM29",0.170432731,5.554229657,"ECM29-YEA4",0.406311699063444
"ERG4","YEA4","Yes","YEA4",0.753778241,1.161067792,"ERG4-YEA4",0.806830082008798
"HIS1","YEA4","Yes","HIS1",0.092962493,1.875425216,"HIS1-YEA4",0.320881644245283
"HIS6","YEA4","Yes","HIS6",0.144460691,2.663729854,"HIS6-YEA4",0.389470243964286
"HMF1","YEA4","Yes","YEA4",0.401157444,16.02786976,"HMF1-YEA4",0.504905058827586
"IBA57","YEA4","Yes","IBA57",0.187211604,17.8398451,"IBA57-YEA4",0.406761187977273
"ILV1","YEA4","Yes","ILV1",0.269961904,2.968535379,"ILV1-YEA4",0.414906514547368
"IRC10","YEA4","Yes","IRC10",0.344494706,3.207810423,"IRC10-YEA4",0.459746134149909
"ISA1","YEA4","Yes","YEA4",0.31192665,14.27244573,"ISA1-YEA4",0.44133024729207
"LYS4","YEA4","Yes","YEA4",0.362964928,11.97005621,"LYS4-YEA4",0.470539092482269
"LYS9","YEA4","Yes","LYS9",0.292527215,7.226331135,"LYS9-YEA4",0.430786110564516
"MET10","YEA4","Yes","MET10",0.17628496,9.997143694,"MET10-YEA4",0.406311699063444
"MET13","YEA4","Yes","YEA4",0.520699594,1.443436323,"MET13-YEA4",0.597658339025157
"ORT1","YEA4","Yes","ORT1",0.331714592,7.210963882,"ORT1-YEA4",0.454769262343173
"POS5","YEA4","Yes","POS5",0.420665435,1.360066217,"POS5-YEA4",0.51352135041806
"TRP3","YEA4","Yes","TRP3",0.207237105,3.135065665,"TRP3-YEA4",0.406761187977273
"TRP5","YEA4","Yes","TRP5",0.257999211,8.55934781,"TRP5-YEA4",0.412229301991247
"URA1","YEA4","Yes","URA1",0.175301583,3.809476449,"URA1-YEA4",0.406311699063444
"VPS65","YEA4","Yes","VPS65",0.150967587,3.23648763,"VPS65-YEA4",0.390114884513889
"ARO1","ARG5,6","Yes","ARG5,6",0.263936109,2.600462756,"ARO1-ARG5,6",0.414608509526882
"ARO7","ARG5,6","Yes","ARG5,6",0.359360897,8.146959929,"ARO7-ARG5,6",0.470327266457961
"ECM29","ARG5,6","Yes","ECM29",0.109843679,3.938102841,"ECM29-ARG5,6",0.3630697659375
"HIS1","ARG5,6","Yes","HIS1",0.232103379,2.219706286,"HIS1-ARG5,6",0.406761187977273
"HIS4","ARG5,6","Yes","HIS4",0.090392772,2.167149719,"HIS4-ARG5,6",0.320881644245283
"HIS6","ARG5,6","Yes","ARG5,6",0.078546087,2.469861678,"HIS6-ARG5,6",0.303379066190476
"IRC10","ARG5,6","Yes","ARG5,6",0.234359076,9.975374109,"IRC10-ARG5,6",0.406761187977273
"ISA1","ARG5,6","Yes","ARG5,6",0.284502872,1.692034154,"ISA1-ARG5,6",0.423375471405295
"LYS2","ARG5,6","Yes","LYS2",0.255008999,4.720533141,"LYS2-ARG5,6",0.41094165401766
"LYS9","ARG5,6","Yes","LYS9",0.402554983,1.474112381,"LYS9-ARG5,6",0.504922916821306
"MET1","ARG5,6","Yes","MET1",0.226696966,7.615038458,"MET1-ARG5,6",0.406761187977273
"MET10","ARG5,6","Yes","ARG5,6",0.276801039,5.608908697,"MET10-ARG5,6",0.415771107962963
"MET3","ARG5,6","Yes","MET3",0.240373749,3.46880114,"MET3-ARG5,6",0.406761187977273
